,Mean,Std
Accuracy,0.981904761904762,0.021272210244763116
F1,0.9650250303058032,0.042894618906701626
Precision,0.9679090613423448,0.0296141098760927
Recall,0.9642857142857144,0.06734350297014738
Specificity,0.9642857142857144,0.06734350297014738
Kappa,0.9528661453908743,0.056875025355588485
ROC_AUC,0.997773654916512,0.004873441757537548
